|artist|categoryId|country|description|dimensions|image|name|price|stock
|Heidi Lanino|4|United States|Aluminum .025-Inch, Rhinestone Crystal Gem, clear.   This series of works are made using paper or metal, folded to create a portrait of the female, portraying both strength and vulnerability in their various forms. Referencing Greek and Roman Sculpture, and movement and dance. These Folded Females explore questions about accepted ideals of beauty the process of folding and unfolding oneself in response to each moment of the human lived experience.  Adorned / Unadorned #3 One side is an adorned with crystal rhinestones, the other unadorned expressing the desire to be seen and unseen; a fragile beauty.  This sculptural form can be displayed as a relief, hung from the ceiling or hook to gently turn and move through space as a feminine, elegant and graceful dance.|6 W x 12 H x 3.5 D in|6694781-HSC00001-7.jpg|Adorned Unadorned No. 3 Sculpture|1500|5
|Jiahui Wu|4|China|When we were there a common dream is to wear a red scarf, become outstanding young pioneers. Standing under oath that moment the five-star red flag, it is the most proud of. In China, children wearing red scarf, joined the Chinese Young Pioneers, proved to be excellent students. The authors of childhood memories, create this group with Chinese characteristics sculptures. Boy, girl, wearing a red scarf, raised his hands, proud face, to join the Young Pioneers oath scene. Version Number：9／28|12.6 W x 18.1 H x 9.8 D in|2017501-HSC00001-7.jpg|&quot; Classic Memories Series -  Childhood Dreams &quot; Sculpture|26000|1
|Astrid Stoeppel|4|Germany|INFO: Short-term SALE of the Series Paperwork due to my studio move in 2022!  New in 2019: Series Paperwork Monochrome - Inspired by my Series Emotional acrylics  For this new series I use titanium white or black primed canvases in different sizes and thousands of paper snippets in monochrome color. Be careful - the artwork is very delicate!  The artwork is done on a high quality canvas. A coat of varnish was applied to protect the painting from uv rays and dust. It is hand signed by me on the frontside and will arrive ready to hang.  More on my website: http://astridstoeppel.com|27.6 W x 27.6 H x 2 D in|5939685-MZANLDTL-7.jpg|Monochrome dot #2 Sculpture|1500|2
|Narinart Armgallery|4|Armenia|Artist - Karen A. Size - 42x15x28cm Medium - Iron Subject - Figure Original Created:2021 Styles: Abstract|5.9 W x 16.5 H x 11 D in|8564881-TFTWRKUD-7.jpg|Karen Axikyan/Mining (42x15x28cm 3kg iron) Sculpture|1580|4
|HARI BEIERL|4|Germany|A face with rockabilly-hair. He is looking through red eyes.|7.9 W x 47.2 H x 2.8 D in|5451133-HSC00001-7.jpg|Rockabilly Sculpture|2710|3
|Paslier Morgan|4|France|"Also available:  * 50 cm / 19,6 in. Printed on DIASEC . Limited edition of 1. $950+ shipping,  is Available * 160 cm / 62in. Printed on DIASEC . Limited edition of 1. $9.500+ shipping,  is Available   °°°°°°°°°°°°°°°°°°  Abstraction #294 - Pulse From the serie ""I'm in the middle of something"" UNIQUE EDITION  From the serie: ""I'm in the middle of something"": this serie refers to your inside space! Place where you are at this time, vibrations you receive right now are yours! Not mine any more...  DIASEC Fuji Crystal Archive Photo paper 220gr mount under clear acrylic glass 3mm, with polished edges, with clear acrylic glass 3mm as back, came with hanging profile. (Artwork is ready to hang with aluminium system on back)  Hand signed on back Image 100cm or 39"" With a Certificate of Authenticity  Please contact curator@saatchiart.com if you are interested. Custom size available on demand"|39.4 W x 39.4 H x 1.2 D in|9136915-YDGKGOVZ-7.jpg|Abstraction #294 - Pulse Sculpture|4550|6
|Koen Lybaert|4|Belgium|Brown, blue and transparent ceramic abstract sculpture. Hand painted/glazed and fired twice on 1180°.|11 W x 23.6 H x 3.9 D in|9578181-BXKAPLRU-7.jpg|Abstract sculpture Sculpture|2660|2
|Ihor Soloviov|4|Poland|Color Synergy is a composition based on simple shapes and colors. As the sum of color and shape create a harmonious composition, so the sum of perseverance and intelligence create an outstanding result. The size of my composition is 96/96/5 cm. The packaging in which I send my works of art is wooden boxes. The size of the box for this work is 106/106/25 cm. Weight is 65 kg I was inspired by a simplicity of geometric shapes and their combinations. Looking at this artwork from different angles is very interesting Made in natural wood. Which is light weighted to hang it on the wall easily. Covered by a strong acrylic protection layer to make it durable and easy to clean. If you have any questions, you can write to me by e-mail: igorsolovjov4@gmail.com It is also possible to make a work of art for you to order, taking into account your size.|37.8 W x 37.8 H x 2 D in|8723171-ZFEUCRQW-7.jpg|Color synergy 7 Sculpture|2570|1
|Olga Armand Ugon|4|Uruguay|Assenbledge contemprary sculpture. Assembly of ancient solid obejts. Dusty Iron . The sun.|9.8 W x 18.9 H x 3.9 D in|2340795-HSC00001-7.jpg|Rusty Sun Sculpture|2710|4
|Sharon Brill|4|Israel|Abstract,Wheel thrown and altered porcelain,Fired to Cone 6,bare Porcelain , sanded,Gray by color. The stand made of clay, fired to Cone 6,painted.  The size includes the stand  Sculpture: 11x27x14 cm Stand : round D- 20-25 cm  H -6-8 cm|10.6 W x 7.1 H x 5.5 D in|1210499-HSC00001-7.jpg|Conch 6 Sculpture|1900|3
|Dmytro Shavala|4|Ukraine|The artwork is made of wood.  It would make a great addition to any modern interior. It’s ready to be handed on the wall and has all the fixings. You can choose any suitable size for your home or office. If you have any questions please ask.|39.4 W x 39.4 H x 2.4 D in|9261227-KMLDFQKS-7.jpg|Flowering geometry Sculpture - Limited Edition of 5|4500|3
|Anna Sidi-Yacoub|4|Ireland|Color: From yellow-Green to Blue to purple.  A sculpture representing Dancing lights / Aurora Borealis. When the Sunrays are hitting the sculpture, you will get on the opposite wall beautiful dancing lights similar to Aurora.  From my Series of Sculptural 3-D Minimalist and Contemporary Abstracts for Office or Home. Each Artwork is Unique, hand formed. The surface is glossy, light and bright, highly reflecting light. The intensity of the blue color will change depending on light and surrounding objects and colors. It will illuminate each room. The sculpture is supplied with J-Hooks. The upper part is folded for easy hanging as a Portrait / Vertically.|19.7 W x 37 H x 1.2 D in|9212843-KTYYOKPV-7.jpg|Borealis Sculpture|1210|2
|Scott Troxel|4|United States|"Part of the Terebellum Series by Scott Troxel, ""Stasis"" is a large, modern, wood wall sculpture.  As with all of Scott Troxel's work, Stasis is retrofuturist, meaning that it is both a nostalgic nod to the past (Mid century modern and Art Deco inspired) while also looking toward the future. The monochromatic color palette puts emphasis on the composition of pieces, without the distraction of color. Sweeping birch wood pieces add a warmth and organic ness to the piece that keeps it from being too modern or cold (again a nod to mid century design).  The bold negative spaces in the piece further emphasize the form and composition of the piece.  Stasis is finished with high end satin pigmented lacquer which appears as an automotive quality finish on both the wood and the off-white pieces.    Recommended to be hung with cleats (included) for support on the wall."|47 W x 56 H x 1.3 D in|8644409-ENZRIEPC-7.jpg|Stasis Sculpture|4800|1
|Mary Jo McGonagle|4|United States|This neon piece is hand blown glass in LIGHT BLUE. It is mounted on contoured, clear plexiglas with pre drilled holes for hanging, and comes ready to hang. This piece is offered in the following colors: White, ruby red, coral pink, violet, turquoise, emerald green, promo blue and light blue. Custom commission is also available. My neon, decorative paintings and installations use contemporary phrases, which reflect the thoughts we all share. My art reflects my fascination with how our relationships take place in our everyday life, hovering between humor and desperation. My work has been described as contemporary multidisciplinary with a conceptual twist. This piece is part of the edition of 8.|32 W x 18 H x 3 D in|5951373-VIIARXQB-7.jpg|Live Colorfully Sculpture|3200|2
|James Watts|4|Australia|This assemblage sculpture is constructed from recycled materials sourced from an area in Brisbane called Woolloongabba. When viewing art it is often the various impulsive flashes of memory, generated by our past experience with everyday objects, materials and places that link the complexity of the work together. However, it is through the constructive use of what may be considered banal and ordinary objects, united by life as a material composition, art and memory that perception transforms the everyday into something unexpected and extraordinary.|15.2 W x 23.4 H x 1.2 D in|7479065-DBBAWUPM-7.jpg|Shades of Woolloongabba #5 Sculpture|890|3
|Andrij Savchuk|4|Ukraine|"""Symmetrical nuances"" is made from wood (Pine) . The board of artwork is from MDF. I used acrylic paint for this artwork. The weight of the composition is 10 kg. Size of one composition is 120*40*9 cm.  I can make any size of this artwork, which you would like. If you have any questions about anything please ask! andrijsavchuk093@gmail.com"|15.7 W x 47.2 H x 3.5 D in|8259161-JNFIGMLX-7.jpg|&quot;Symmetrical nuances&quot; Sculpture|4000|5
|Scott Troxel|4|United States|"""Tonka III"" is the last piece in a 3 piece series of monochromatic wall sculptures. Tonka III features a matte metallic gunmetal (Blue steel) finish made from automotive enamel. The result is a stunning metallic surface that absorbs light and looks extremely rich and luxe.  Four different levels of depth and thicknesses on the piece allow for striking shadows when spotlights are used to light the piece. The pinlines are metallic Champagne and red.  Finally, the name ""Tonka"" comes from the inspiration for these pieces.  The pieces are meant to abstractly resemble Native American dancers dressed in monochromatic deerskin outfits.  I tried to capture the send of movement and elegance in a modern cubist manner.  Note: The color of this piece is very tricky to photograph.  Because it is automotive enamel, the paint color changes depending on the angle you are viewing the piece and the ambient light hitting it.  Sometimes it looks blue, sometimes it looks charcoal or grey.  Inside without light, it looks darker, but in natural light it seems blue-ish steel.  It makes for a very cool surface but very hard to show in photos.  Each piece is wired to hang."|25 W x 47.5 H x 1.5 D in|6757653-HSC00002-7.jpg|Tonka III Sculpture|4210|3
|Todd Monaghan|4|United States|This piece was created at the Garner Arts Center in New York. Friend and fellow artist Linus Coraggio helped formulate the hanging apparatus which is attached with wire. This is the first step back into sculpture which began for me as a child with the carving of wooden decoys. This is a sculptural representation of the Black Night Sky series.|47 W x 94 H x 3 D in|6471413-HSC00001-7.jpg|3 Astrological Mistakes Sculpture|5400|1
|Vova Pydlyak|4|Ukraine|Acrylic on wooden panel. This painting does not require a frame.|39.4 W x 39.4 H x 0.4 D in|7873247-HSC00923-7.jpg|MDF20 Sculpture|2420|2
|Dmytro Shavala|4|Ukraine|I was inspired by a simplicity of geometric shapes and their combinations. Looking at this artwork from different angles is very interesting Made in natural wood. Which is light weighted to hang it on the wall easily. Covered by a strong acrylic protection layer to make it durable and easy to clean.|39.4 W x 35.4 H x 1.6 D in|9169527-LIFCVUYO-7.jpg|Land Sculpture - Limited Edition of 5|3740|3
|Nazar Symotiuk|4|Ukraine|The artwork is executed in the style of abstract . Looking at it from different sides can be felt the secret that lies in it.I can make the same artwork in a different size.|34.6 W x 34.6 H x 2 D in|8648043-HKHTBPFO-7.jpg|Color movement (double nails) Sculpture|2270|3
|Nazar Symotiuk|4|Ukraine|the work is executed in the style of modernism. looking at it from different sides can be felt the secret that lies in it.I can make this same artwork in a different size.If you have some question : nazik13021992@gmail.com|118.1 W x 39.4 H x 2 D in|4975549-HSC00001-7.jpg|Where are we going? Sculpture|5100|5
|Paslier Morgan|4|France|"Also available:  * 50 cm / 19,6 in. Printed on DIASEC . Limited edition of 1. $950+ shipping,  is Available * 160 cm / 62in. Printed on DIASEC . Limited edition of 1. $9.500+ shipping,  is Available   °°°°°°°°°°°°°°°°°°  Abstraction #126 From the serie ""I'm in the middle of something"" UNIQUE EDITION  From the serie: ""I'm in the middle of something"": this serie refers to your inside space! Place where you are at this time, vibrations you receive right now are yours! Not mine any more...  DIASEC Fuji Crystal Archive Photo paper 220gr mount under clear acrylic glass 3mm, with polished edges, with clear acrylic glass 3mm as back, came with hanging profile. (Artwork is ready to hang with aluminium system on back)  Hand signed on back Image 100cm or 39"" With a Certificate of Authenticity  Please contact curator@saatchiart.com if you are interested."|39.4 W x 39.4 H x 1.2 D in|9115175-UTJOCBZD-7.jpg|Abstraction #126 Sculpture|4650|1
|Juliet Vles|4|Switzerland|"SAATCHI ART COLLECTION  ""WALL-BASED SCULPTURE"" Featured in the collection ""Wall-Based Sculpture"" selected by Saatchi Art Curator  INDIA BALYEJUSA.  THOMSON ART PRIZE Longlisted for the Thomson art prize, curated by Thomson Gallery, Zug, Switzerland This entails a digital show of my glasswork at the Thomson Gallery in Zug, Switzerland and in several international partner galleries during the year 2022, as well as another presentation of my work on ARTSY.  PUBLICATIONS Featured in ANIMA MUNDI art magazine, April 2022  NEW GLASSWORKS Between 1997 and 2003, I made a great many installations and sculptures of industrial glass - a medium difficult to handle but unique as to its infinite esthetical possibilities. These works were regrouped and shown as The Glassworks. The new glassworks that have been created in the course of this year are a logical continuation of the initial series and draw on the technical experience I acquired during that period.  REVERSE GLASS PAINTING The technique of reverse glass painting consists in painting the back side of a glass panel which is then reversed so that the mirror image can be viewed through the glass. The artist plays with light, transparency and reflexions to create abstract and luminous works, often combining the glass with other material like paper, collage and wood."|51.2 W x 58.3 H x 3.1 D in|7873381-OPGFLLJE-7.jpg|from the glassworks GW17/22 (trailblazer) Sculpture|9850|2
|Michael James Talbot|4|United Kingdom|These stunning, intricate and delicate illustrations of the female form are new and rare bronze sculpture collections from Michael James Talbot.  Emergent Maquettes and Sketches  The ‘sketches’ are how Michael experiments with shape, form and balance. The maquettes are the next step on from the sketches -they are the scale model of the larger study which form the Emergent Collection  It is very rare for Michael to release the sketches or maquettes for a particular body of work, so we are delighted to be able to offer this rare opportunity.|7.5 W x 21.3 H x 4.7 D in|6701853-HSC00001-7.jpg|Maquette Seraphina Sculpture|16250|4
|Francesca Dalla Benetta|4|Mexico|Fantastic creature decorated with red flowers and ayes|23.6 W x 53.1 H x 13.8 D in|1552330-HSC00001-7.jpg|OCCHIO NON VEDE CUORE NON DUOLE Sculpture|6540|3
|Koen Lybaert|4|Belgium|Ceramic sculpture of two Parisian girls on a wooden stand. Created in clay and transparent and white glazed and fired twice in an electric kiln. Glazed at 1250° c.|10.2 W x 23.6 H x 11.8 D in|9087553-JPMEHLGC-7.jpg|Parisian girls Sculpture|2470|6
|Beate Garding Schubert|4|Germany|"These hand painted skateboards are inspired by The Beatles' song ""All you need is love."" The two decks are painted with acrylics, pastels, spray paint and Aero Color Schmincke inks. They are varnished for protection. Edges are painted. They will ship protected in a box. They are ready to hang and easily mountable to any wall.  I'm celebrating the happy colours and symbols like butterflies, fishes, ladder, houses.  The neon green is fresh and inspiring filling your home with joy.  Size: Each deck is 79 cm /31.1“ H x 19,5 cm/ 7.67“ W x 0,7 cm/0.3“ D. Total artwork size: 79 cm/31.1“ H x 39 cm/15.35“ W x 0,7 cm/0.3“ D Material: Several layers of maple wood.  Full of love and happiness! Certificate of authenticity."|15.4 W x 31.1 H x 0.3 D in|8413515-RWSJLQMP-7.jpg|All you need is love No.7  #decks Sculpture|1360|2
|James Watts|4|Australia|"This work is part of a series ""Facets of the Heart."" Incorporating recycled materials sourced throughout Brisbane the work is unique in shape and sits/ bends off the wall."|13.8 W x 19.7 H x 8.7 D in|1708973-KZAYNCXL-7.jpg|Facet of the Heart #15 Sculpture|1100|1
|Nazar Symotiuk|4|Ukraine|the work is executed in the style of modernism. looking at it from different sides can be felt the secret that lies in it.I can make this same artwork in a different size.|39.4 W x 74.8 H x 2 D in|6413927-QNLNXDAF-7.jpg|Cold field on black background Sculpture|5150|4
|Mary Jo McGonagle|4|United States|This neon piece is hand blown glass in GREEN. It is mounted on contoured, clear plexiglas with pre drilled holes for hanging, and comes ready to hang. This piece is offered in the following colors: White, ruby red, orange, coral pink, violet, turquoise, emerald green, promo blue and light blue. Custom commission is also available.   My neon, decorative paintings and installations use contemporary phrases, which reflect the thoughts we all share. My art reflects my fascination with how our relationships take place in our everyday life, hovering between humor and desperation. My work has been described as contemporary multidisciplinary with a conceptual twist. This piece is part of the edition of 9.|41 W x 4 H x 3 D in|7332574-HSC00002-7.jpg|Because I said so Sculpture|2900|2
|Ian Turnock|4|United Kingdom|Inspired by the foliage of the Copper Beech tree, a 75cm freestanding sculpture in corten weathering steel. Suitable for indoors or outside.|29.5 W x 29.5 H x 11.8 D in|9791541-POOUGLLE-7.jpg|Whitebeam Sculpture - Limited Edition of 5|3330|1
|Anna Sidi-Yacoub|4|Ireland|Color: Emerald Green, difficult to depict in the photograph. Fed up with flat shapes and paintings? Beautiful shades of deep Green, mimicking the movement of the waves, giving the feeling of peace, calmness and serenity. It will bring back memories from your childhood experiences of the sea.  From my Series of Sculptural 3-D Minimalist and Contemporary Abstracts for Office or Home. Each Artwork is Unique, hand formed. The surface is glossy, light and bright, highly reflecting light. The intensity of the Green color will change depending on light and surrounding objects and colors. It will illuminate each room.|19.7 W x 57.1 H x 1.2 D in|8990267-STNPQDNV-7.jpg|Emerald Green Reflections Sculpture|1790|2
|Ryan Coleman|4|United States|"Laser cut mirrored acrylic. Floats approximately .5"" off of the wall, hung with a French Cleat.  30""H x 47""W x .125D""  This wall sculpture is based on the scribbles and quick gestures I use in my work, inspired by classic cartoons and Abstract Expressionist painting.  http://ryancolemanstudio.com"|47.5 W x 27.5 H x 0.1 D in|7291359-HSC00923-7.jpg|Scribble Mirror (Rose Gold) Sculpture|5150|3
|Paslier Morgan|4|France|"Also available:  * 50 cm / 19,6 in. Printed on DIASEC . Limited edition of 1. $900+ shipping   °°°°°°°°°°°°°°°°°° Kissing time From the serie ""I'm in the middle of something"" UNIQUE EDITION  From the serie: ""I'm in the middle of something"": this serie refers to your inside space! Place where you are at this time, vibrations you receive right now are yours! Not mine any more...  DIASEC Fuji Crystal Archive Photo paper 220gr mount under clear acrylic glass 4mm, with polished edges, with Dibond 3mm as back, came with hanging profile. (Artwork is ready to hang with aluminium system on back)  Hand signed on back Image 100cm or 39"" With a Certificate of Authenticity  Please contact curator@saatchiart.com if you are interested."|39.4 W x 39.4 H x 1.2 D in|8704277-WFAAXQRL-7.jpg|kissing time - Abstraction #185 Sculpture|4210|5
|Ihor Soloviov|4|Poland|To the common - the work is aimed at finding common features in different phenomena. I was inspired by the simplicity of geometric shapes and their combination. It is very interesting to look at this work from different angles Made of natural wood. It is lightweight to easily hang it on the wall. Covered with a durable acrylic protective layer, which makes it durable and easy to clean. The size of the composition is 140-100 cm. The size of the individual part is 70-100 cm. If you have any questions, you can write me an e-mail: igorsolovjov4@gmail.com It is also possible to make a work of art for you to order, given your size.|55.1 W x 39.4 H x 2 D in|7883891-GYJMWTAC-7.jpg|To the common XI Sculpture|4340|3
|Susan Laughton|4|United Kingdom|Vernacular buildings, both rural and industrial have inspired these imagined architectural forms. 9mm thick lasercut plywood, acrylic painted and real copper gilded wall sculpture/sculptural painting. Lines have been engraved into the surface of the wood. Ply spacers on the back create a floating effect and shadow. Ready to hang.|5.7 W x 9.4 H x 0.4 D in|7448849-HSC00001-7.jpg|Stowaway 3 Sculpture|510|1
|Olga Skorokhod|4|United States|This piece was inspired by the depth of the ocean, natural formations and their textures. Olga explores the different variations that are possible in the composition and plays with the shapes, depth and transitions from light to shadow. She gives the depth to her works by using double-sided sticky foam between the layers. The paper sculpture techniques give the artwork a greater illusion of 3D. To add color and more depth in sculpture she uses blue film between paper layers.|6 W x 6 H x 1.3 D in|9032129-ULAIANUA-7.jpg|Oceanic Symphony Sculpture|455|2
|Jiahui Wu|4|China|“ Angel’s Haven ” Every angel has their own haven. Whenever they feel tired, they can return, stop, and rest there. It makes them feel safe as if at home. An angel, crossing arms across her chest, standing on tiptoe, rests on the hillside. The artist creates this visual impact to make the audience more impressed with the work of art.|12.6 W x 19.3 H x 8.7 D in|7209447-HSC00001-7.jpg|“ Angel’s Haven ” Sculpture|34000|3
|Dusan Rakic|4|Serbia|"Marquetry work. Dimension 25×34 cm  Marquetry interpretation inspired by an interesting picture of the famous fashion photographer Steven Meisel – “Elegance and silhouette” (Christy Turlington for Vogue Italia, September 1991), and also the drawing of Loui Jover ""Little Blue""."|9.8 W x 13.4 H x 0.5 D in|1681183-BJDLPETF-7.jpg|Lady (marquetry work) Sculpture|570|3
|Paslier Morgan|4|France|"Also available:  * 50 cm / 19,6 in. Printed on DIASEC . Limited edition of 1. $950+ shipping,  is Available * 160 cm / 62in. Printed on DIASEC . Limited edition of 1. $9.500+ shipping,  is Available Custom size available on demand  °°°°°°°°°°°°°°°°°°  Abstraction #278 - Be Yourself ! From the serie ""I'm in the middle of something"" UNIQUE EDITION  From the serie: ""I'm in the middle of something"": this serie refers to your inside space! Place where you are at this time, vibrations you receive right now are yours! Not mine any more...  DIASEC Fuji Crystal Archive Photo paper 220gr mount under clear acrylic glass 3mm, with polished edges, with clear acrylic glass 3mm as back, came with hanging profile. (Artwork is ready to hang with aluminium system on back)  Hand signed on back Image 100cm or 39"" With a Certificate of Authenticity  Please contact curator@saatchiart.com if you are interested. Custom size available on demand"|39.4 W x 39.4 H x 1.2 D in|9154643-RHIIMIHT-7.jpg|Abstraction #278 - Be Yourself ! Sculpture|4550|5
|Andrij Savchuk|4|Ukraine|Material: wood (linden), Paint: polyurethane, Weight: 20 kg, Signed on back|31.5 W x 31.5 H x 4.3 D in|8664963-ZZCASAJH-7.jpg|Blue and yellow radiance Sculpture|4450|1
|Paul Stein|4|South Africa|This is a somewhat humorous take on the patient, solitary angler, waiting for something to happen. The main body of the sculpture is finished with a textured emulsion paint, and this contrasts with areas of high  auto lacquer gloss . The sculpture is made in steel with an aluminium floating element, which moves with gentle draughts of air.  Mounted on a sturdy steel base painted matt black This sculpture is  one of a kind.|11.8 W x 40.2 H x 8.7 D in|8248693-WTGNNDPX-7.jpg|The Angler Sculpture|5040|2
|Mary Jo McGonagle|4|United States|This GREEN neon artwork is a series of eight in the following colors: white, ruby red, coral pink, violet, turquoise, emerald green, bromo blue and light blue.  Each piece is hand blown, one-of-a-kind artwork. The neon piece is ready to install. Mounted on contoured, pre-drilled clear plexiglass and white electrical elements ensure a cleanly presented neon statement.  MJ's neon works are a direct reflection of contemporary life. Her art reflects her fascination with how our relationships take place in our everyday life, hovering between humor and desperation. Her work has been described as contemporary multidisciplinary painting with a conceptual twist. MJ's decorative paintings and installations conceal contemporary phrases using domestic patterning, which deal with unspoken thoughts we all share.|30 W x 17 H x 3 D in|5943453-HSC00001-7.jpg|Happiest Here Sculpture|2100|1
|Dmytro Shavala|4|Ukraine|I was inspired by a simplicity of geometric shapes and their combinations. Looking at this artwork from different angles is very interesting Made in natural wood. Which is light weighted to hang it on the wall easily. Covered by a strong polyurethane protection layer to make it durable and easy to clean.|31.5 W x 31.5 H x 2.4 D in|9317937-UEURMTJO-7.jpg|Entrance Sculpture|2500|2
|Vova Pydlyak|4|Ukraine|Acrylic on wooden panel. This painting does not require a frame.|39.4 W x 39.4 H x 0.4 D in|8301119-HODDTXVJ-7.jpg|Magma Sculpture|2960|3
|Jiahui Wu|4|China|This group of sculptures is gift boxed. The artwork is small in size, but the workmanship is very fine. Material is PU material, environmental protection, quality is also good. When the work is in hand, it can feel the texture of the skin and is very smooth. This set of works is a limited edition limited edition of 666 pieces of the artist's autographs.|5.9 W x 9.8 H x 4.3 D in|8277009-TVAUWVBQ-7.jpg|“ Angel’s Haven ” Sculpture|860|5
